タイトル,タイトルURL,タイトル2,タイトル3,タイトル4,タイトル5,タイトル6,価格8,概要,概要9,タイトル10,日時,タイトル11,タイトル12,最低価格,評価スコア,予約時間（分）,評価ランク
ホテルマイステイズ金沢片町,https://www.jalan.net/yad392247/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=392247&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y7/Y392247/Y392247342.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y7/Y392247/Y392247294.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y7/Y392247/Y392247314.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y7/Y392247/Y392247313.jpg,"1名 2,040円～",4.2,309件,清潔感、朝食、部屋高評価,たった今予約されました,【アクセス】,JR北陸本線「金沢駅」より車で約10分。北陸自動車道・金沢西ICより約15分。片町スクランブル交差点すぐそば,2040.0,4.2,,C（普通）
アパホテル〈金沢中央〉,https://www.jalan.net/yad323565/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=323565&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y5/Y323565/Y323565995.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y5/Y323565/Y323565A67.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y5/Y323565/Y323565608.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y5/Y323565/Y323565A29.jpg,"1名 3,680円～",4.1,143件,風呂、清潔感、部屋高評価,31分前に予約されました,【アクセス】,JR金沢駅からバスで10分、片町バス停下車徒歩1分。北陸自動車道金沢西ICから車で15分。,3680.0,4.1,,C（普通）
金沢 東急ホテル,https://www.jalan.net/yad317689/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=317689&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y9/Y317689/Y317689A41.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y9/Y317689/Y317689659.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y9/Y317689/Y317689AX0.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y9/Y317689/Y317689656.jpg,"1名 5,401円～",4.5,832件,接客、清潔感、朝食高評価,20分前に予約されました,【アクセス】,【車】金沢西ICより約20分【電車・バス】JR金沢駅東口より路線バス約7分・香林坊下車,5401.0,4.5,,B（良好）
金沢湯涌温泉 古香里庵,https://www.jalan.net/yad385764/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=385764&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y4/Y385764/Y385764108.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y4/Y385764/Y385764023.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y4/Y385764/Y385764093.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y4/Y385764/Y385764103.jpg,"1名 29,800円～",4.9,41件,朝食、夕食、清潔感高評価,43分前に予約されました,【アクセス】,北陸新幹線金沢駅より車で40分　金沢兼六園から車で30分　金沢森本インターから車で30分,29800.0,4.9,,A（非常好）
Ｔマークシティホテル金沢,https://www.jalan.net/yad358240/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=358240&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y0/Y358240/Y358240076.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y0/Y358240/Y358240056.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y0/Y358240/Y358240086.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y0/Y358240/Y358240047.jpg,"1名 2,715円～",4.5,144件,部屋、清潔感、接客高評価,1時間前に予約されました,【アクセス】,金沢駅東口より北陸鉄道バスを利用し約13分、「片町」下車徒歩1分,2715.0,4.5,,B（良好）
ホテルマイステイズ金沢キャッスル,https://www.jalan.net/yad335705/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=335705&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y5/Y335705/Y335705571.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y5/Y335705/Y335705437.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y5/Y335705/Y335705549.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y5/Y335705/Y335705481.jpg,"1名 2,000円～",4.0,182件,朝食、夕食、部屋高評価,19分前に予約されました,【アクセス】,JR金沢駅東口（兼六園口）から徒歩5分。北陸自動車道金沢東15分、西ICから20分。小松空港から車で50分。,2000.0,4.0,,C（普通）
金沢湯涌温泉　湯の出,https://www.jalan.net/yad352002/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=352002&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y2/Y352002/Y352002750.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y2/Y352002/Y352002616.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y2/Y352002/Y352002448.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y2/Y352002/Y352002031.jpg,"1名 19,635円～",4.7,256件,夕食、風呂、接客高評価,1時間前に予約されました,【アクセス】,兼六園より車で25分、金沢駅より車で約40分。金沢森本I.Cから山側環状経由で30分。,19635.0,4.7,,A（非常好）
スマイルホテルプレミアム金沢東口駅前,https://www.jalan.net/yad336188/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=336188&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y8/Y336188/Y336188281.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y8/Y336188/Y336188233.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y8/Y336188/Y336188163.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y8/Y336188/Y336188231.jpg,"1名 2,790円～",4.3,104件,部屋、朝食、清潔感高評価,16分前に予約されました,【アクセス】,ＪＲ北陸本線「金沢駅」東口より徒歩3分,2790.0,4.3,,B（良好）
ホテル金沢,https://www.jalan.net/yad368768/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=368768&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y8/Y368768/Y368768840.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y8/Y368768/Y368768861.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y8/Y368768/Y368768844.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y8/Y368768/Y368768105.jpg,"1名 2,820円～",4.4,870件,朝食、夕食、部屋高評価,2時間前に予約されました,【アクセス】,金沢駅の兼六園口（東口）より徒歩約1分　※東口バスターミナル１番乗り場近く,2820.0,4.4,,B（良好）
東急ステイ金沢,https://www.jalan.net/yad329525/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=329525&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y5/Y329525/Y329525472.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y5/Y329525/Y329525464.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y5/Y329525/Y329525108.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y5/Y329525/Y329525456.jpg,"1名 4,788円～",4.7,290件,部屋、清潔感、接客高評価,5時間前に予約されました,【アクセス】,金沢駅兼六園口(東口)から、北陸鉄道バス7分　南町・尾山神社下車　徒歩1分,4788.0,4.7,,A（非常好）
ホテルアマネク金沢,https://www.jalan.net/yad384494/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=384494&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y4/Y384494/Y384494255.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y4/Y384494/Y384494060.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y4/Y384494/Y384494397.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y4/Y384494/Y384494250.jpg,"1名 3,070円～",4.7,265件,朝食、部屋、清潔感高評価,1時間前に予約されました,【アクセス】,金沢駅（東口） 7番乗り場より金沢周遊バス、 片町（パシオン前）バス停まで約12分、バス停より徒歩約3分 ,3070.0,4.7,,A（非常好）
ホテルルートイン金沢駅前,https://www.jalan.net/yad374216/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=374216&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y6/Y374216/Y374216427.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y6/Y374216/Y374216278.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y6/Y374216/Y374216424.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y6/Y374216/Y374216293.jpg,"1名 5,525円～",4.3,"1,102件",清潔感、風呂、部屋高評価,18分前に予約されました,【アクセス】,JR北陸本線　金沢駅東口より徒歩５分 北陸自動車道　金沢西IC・金沢東ICより車で１５分,5525.0,4.3,,B（良好）
金沢の宿　由屋るる犀々(ゆうやるるさいさい),https://www.jalan.net/yad334093/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=334093&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y3/Y334093/Y334093523.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y3/Y334093/Y334093579.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y3/Y334093/Y334093563.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y3/Y334093/Y334093472.jpg,"1名 13,050円～",4.9,385件,接客、清潔感、朝食高評価,2時間前に予約されました,【アクセス】,◆JR金沢駅より車10分バス20分◆小松空港よりバス（金沢駅乗り換え）60分◆北陸自動車道金沢西ICより車15分,13050.0,4.9,,A（非常好）
金沢の奥座敷・歴代藩主も愛した湯　お宿やました,https://www.jalan.net/yad306202/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=306202&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y2/Y306202/Y306202270.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y2/Y306202/Y306202324.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y2/Y306202/Y306202330.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y2/Y306202/Y306202328.jpg,"1名 12,700円～",4.6,233件,夕食、接客、清潔感高評価,19時間前に予約されました,【アクセス】,JR北陸本線金沢駅下車、バスで45分(車で30分),12700.0,4.6,,B（良好）
金沢・深谷温泉　元湯石屋　能舞台のある秘湯の一軒宿,https://www.jalan.net/yad347437/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=347437&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y7/Y347437/Y347437551.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y7/Y347437/Y347437545.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y7/Y347437/Y347437143.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y7/Y347437/Y347437558.jpg,"1名 25,300円～",4.6,294件,夕食、接客、風呂高評価,1時間前に予約されました,【アクセス】,ＪＲ金沢駅から車で20分。IRいしかわ森本駅より車で7分。北陸自動車道金沢森本ＩＣより車で5分,25300.0,4.6,,B（良好）
ＡＮＡクラウンプラザホテル金沢,https://www.jalan.net/yad319051/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=319051&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y1/Y319051/Y319051A27.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y1/Y319051/Y319051AV6.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y1/Y319051/Y319051A56.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y1/Y319051/Y319051AR0.jpg,"1名 5,963円～",4.2,"1,736件",朝食、接客、清潔感高評価,54分前に予約されました,【アクセス】,JR金沢駅東口より徒歩1分。小松空港よりバス40分。バス停からホテルまで徒歩1分。,5963.0,4.2,,C（普通）
満天の湯・道の宿（マンテンホテルチェーン）,https://www.jalan.net/yad361369/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=361369&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y9/Y361369/Y361369009.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y9/Y361369/Y361369010.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y9/Y361369/Y361369026.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y9/Y361369/Y361369008.jpg,"1名 4,227円～",4.3,335件,風呂、部屋、清潔感高評価,3時間前に予約されました,【アクセス】,北陸自動車道・白山I.C.より車で6分。JR松任駅より車で5分。,4227.0,4.3,,B（良好）
金沢ニューグランドホテルプレステージ,https://www.jalan.net/yad321933/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=321933&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y3/Y321933/Y321933622.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y3/Y321933/Y321933651.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y3/Y321933/Y321933759.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y3/Y321933/Y321933646.jpg,"1名 3,500円～",4.5,548件,部屋、朝食、接客高評価,6時間前に予約されました,【アクセス】,ＪＲ金沢駅東口より路線バス7分南町バス停下車、小松空港より特急バス40分香林坊バス停下車徒歩2分,3500.0,4.5,,B（良好）
ホテルウィングインターナショナルプレミアム金沢駅前,https://www.jalan.net/yad357900/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=357900&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y0/Y357900/Y357900297.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y0/Y357900/Y357900649.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y0/Y357900/Y357900358.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y0/Y357900/Y357900332.jpg,"1名 2,465円～",4.3,602件,朝食、清潔感、部屋高評価,1時間前に予約されました,【アクセス】,JR北陸本線・北陸新幹線「金沢駅」兼六園口（東口）より徒歩約5分　・　小松空港よりリムジンバスで約50分,2465.0,4.3,,B（良好）
KUMU 金沢 by THE SHARE HOTELS,https://www.jalan.net/yad392056/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=392056&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y6/Y392056/Y392056682.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y6/Y392056/Y392056661.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y6/Y392056/Y392056721.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y6/Y392056/Y392056697.jpg,"1名 4,550円～",4.6,171件,清潔感、部屋、接客高評価,20時間前に予約されました,【アクセス】,JR金沢駅から徒歩19分 / JR金沢駅からタクシーで8分 / 北鉄バス・ＪＲバス「南町・尾山神社」徒歩1分,4550.0,4.6,,B（良好）
ＡＮＡホリデイ・イン金沢スカイ,https://www.jalan.net/yad330882/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=330882&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y2/Y330882/Y330882339.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y2/Y330882/Y330882794.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y2/Y330882/Y330882803.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y2/Y330882/Y330882770.jpg,"1名 3,600円～",4.2,869件,朝食、接客、清潔感高評価,2時間前に予約されました,【アクセス】,"金沢の中心部「武蔵ヶ辻、近江町市場」へは,ＪＲ金沢駅より徒歩約10分・タクシー又はバスにて約5分。",3600.0,4.2,,C（普通）
木津屋旅館,https://www.jalan.net/yad350538/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=350538&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y8/Y350538/Y350538010.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y8/Y350538/Y350538009.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y8/Y350538/Y350538006.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y8/Y350538/Y350538001.jpg,"1名 8,250円～",4.8,64件,部屋、接客、清潔感高評価,6時間前に予約されました,【アクセス】,金沢駅より徒歩約15分　　金沢東ＩＣより車で10分,8250.0,4.8,,A（非常好）
カメリアイン雪椿,https://www.jalan.net/yad388540/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=388540&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y0/Y388540/Y388540105.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y0/Y388540/Y388540118.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y0/Y388540/Y388540089.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y0/Y388540/Y388540108.jpg,"1名 8,250円～",4.8,191件,朝食、接客、清潔感高評価,20時間前に予約されました,【アクセス】,ＪＲ金沢駅よりバスで10分／金沢森本インターより１０分。金沢西インターより１５分。,8250.0,4.8,,A（非常好）
ガーデンホテル金沢,https://www.jalan.net/yad331630/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=331630&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y0/Y331630/Y331630838.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y0/Y331630/Y331630455.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y0/Y331630/Y331630458.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y0/Y331630/Y331630636.jpg,"1名 3,000円～",4.1,99件,朝食、接客高評価,たった今予約されました,【アクセス】,JR金沢駅兼六園口（東口）から徒歩1分,3000.0,4.1,,C（普通）
トリフィートホテル＆ポッド金沢百万石通,https://www.jalan.net/yad314738/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=314738&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y8/Y314738/Y314738036.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y8/Y314738/Y314738063.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y8/Y314738/Y314738204.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y8/Y314738/Y314738040.jpg,"1名 2,250円～",4.2,287件,清潔感、風呂、部屋高評価,12分前に予約されました,【アクセス】,金沢駅東口から市内バスで約7分と好立地☆彡 ホテル目の前すぐバス停！,2250.0,4.2,,C（普通）
ARIGATO STAY金沢片町（旧ホテルトレンド金沢片町）,https://www.jalan.net/yad390712/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=390712&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y2/Y390712/Y390712184.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y2/Y390712/Y390712199.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y2/Y390712/Y390712186.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y2/Y390712/Y390712188.jpg,"1名 3,150円～",4.6,130件,部屋、清潔感、接客高評価,7時間前に予約されました,【アクセス】,JR金沢駅より車ー約9分,3150.0,4.6,,B（良好）
金沢シティホテル,https://www.jalan.net/yad394154/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=394154&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y4/Y394154/Y394154068.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y4/Y394154/Y394154087.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y4/Y394154/Y394154091.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y4/Y394154/Y394154011.jpg,"1名 5,250円～",4.4,"1,061件",接客、朝食、部屋高評価,29分前に予約されました,【アクセス】,JR金沢駅「東口」より徒歩10分／北陸自動車道金沢東ICより車で15分／北陸自動車道金沢西ICより車で20分 ,5250.0,4.4,,B（良好）
ホテルパシフィック金沢,https://www.jalan.net/yad307100/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=307100&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y0/Y307100/Y307100182.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y0/Y307100/Y307100164.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y0/Y307100/Y307100158.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y0/Y307100/Y307100150.jpg,"1名 4,000円～",4.8,196件,接客、清潔感、部屋高評価,1時間前に予約されました,【アクセス】,JR金沢駅東口バス乗り場より3、6、7、8、9、10番乗車「武蔵ヶ辻」バス停下車（約3分）,4000.0,4.8,,A（非常好）
天然温泉リラックスパーク　テルメ金沢,https://www.jalan.net/yad324912/?stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&roomCrack=200000&screenId=UWW1402&yadNo=324912&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y2/Y324912/Y324912390.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y2/Y324912/Y324912308.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y2/Y324912/Y324912324.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y2/Y324912/Y324912395.jpg,"1名 5,225円～",4.1,535件,風呂、夕食高評価,17分前に予約されました,【アクセス】,北陸自動車道　金沢西ICより１分／ＪＲ金沢駅よりお車にて１０分,5225.0,4.1,,C（普通）
金沢湯涌温泉　日本料理さかえや,https://www.jalan.net/yad364351/?roomCrack=200000&stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&screenId=UWW1402&yadNo=364351&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y1/Y364351/Y364351030.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y1/Y364351/Y364351146.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y1/Y364351/Y364351111.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y1/Y364351/Y364351152.jpg,"1名 18,700円～",4.4,291件,接客、朝食、夕食高評価,35分前に予約されました,【アクセス】,金沢駅より「県道30号線」を30分、ナビ設定の際は「TEL:076-235-1216」をご登録下さい。,18700.0,4.4,,B（良好）
チサンバジェット金沢駅前,https://www.jalan.net/yad381161/?roomCrack=200000&stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&screenId=UWW1402&yadNo=381161&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y1/Y381161/Y381161001.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y1/Y381161/Y381161089.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y1/Y381161/Y381161010.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y1/Y381161/Y381161002.jpg,"1名 2,250円～",3.8,339件,清潔感高評価,33分前に予約されました,【アクセス】,JR金沢駅金沢港口（西口）徒歩5分,2250.0,3.8,,D（一般以下）
まごころ伝える小さなお宿 北陸金沢の創作加賀会席 旅館 橋本屋,https://www.jalan.net/yad315508/?roomCrack=200000&stayYear=&stayMonth=&stayDay=&stayCount=1&roomCount=1&dateUndecided=1&adultNum=2&rootCd=04&distCd=01&screenId=UWW1402&yadNo=315508&callbackHistFlg=1,石川県 > 金沢・湯涌,https://cdn.jalan.jp/jalan/images/pictL/Y8/Y315508/Y315508480.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y8/Y315508/Y315508477.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y8/Y315508/Y315508442.jpg,https://cdn.jalan.jp/jalan/images/pictM/Y8/Y315508/Y315508446.jpg,"1名 10,000円～",4.4,377件,朝食、夕食、清潔感高評価,3時間前に予約されました,【アクセス】,【金沢駅】車で15分・9番乗り場→バス20分/十一屋下車前●近江町市場→車10分●無料駐車場10台,10000.0,4.4,,B（良好）
